EmpID,YearsExperience,Dept,Salary
797,4.88,Engineering,43736.5298209036
798,7.04,Engineering,64607.88292842215
799,5.08,,52018.07854049788
800,5.09,Sales,43799.75393835289
801,7.81,Marketing,74037.00345321519
802,3.45,Sales,45299.04052767438
803,5.29,Finance,50408.63353486951
804,3.61,,32209.835909028527
805,3.7,Sales,30042.04062086842
806,4.07,Engineering,36359.92104145926
807,5.67,,47576.28197181545
808,3.56,HR,33996.973083314886
809,8.77,Sales,80959.47641808126
810,2.32,,10468.821031298325
811,4.44,Sales,40632.56862778156
812,3.68,,39135.08288219371
813,9.34,Engineering,83674.45196708423
814,5.59,HR,48009.10958173959
815,8.1,HR,67407.758548505
816,0.54,Finance,-4336.876047182737
817,5.8,,57356.5391750345
818,7.67,Sales,69444.74819359348
819,5.25,HR,52015.09270803793
820,8.2,HR,82870.11894456795
821,3.45,Marketing,36250.942786108266
822,9.23,Marketing,81949.18803256453
823,11.9,HR,109875.6374254683
824,3.91,,32790.13395064615
825,3.66,Finance,30029.461444469052
826,9.36,HR,87567.53460162737
827,9.74,Engineering,85177.49304283252
828,3.43,Sales,20415.498704596765
829,3.74,Finance,29863.954524905566
830,4.15,Engineering,36530.96327118912
831,0.97,Finance,16504.199222698695
832,2.24,Engineering,18091.439640465393
833,1.99,Sales,20812.65282601522
834,2.7,Sales,23923.879634886078
835,4.9,Marketing,51076.67829083802
836,5.7,,58068.03695945668
837,9.65,Engineering,94394.32395779977
838,2.0,Marketing,9674.838504540214
839,7.95,Engineering,73954.02593894221
840,4.36,Marketing,43786.261411156556
841,4.85,Sales,46393.72648064207
842,7.02,Finance,67573.07572131984
843,1.63,Marketing,15242.731285003372
844,6.15,Engineering,52686.204132620325
845,5.5,Engineering,41962.592492042924
846,6.48,,56209.16278802904
847,5.87,Sales,
848,12.37,Engineering,111034.06091735949
849,3.09,HR,18545.69712380996
850,3.41,Finance,34941.05604216941
851,3.13,Marketing,32986.84342070945
852,3.33,,36980.640943219616
853,3.09,Finance,30697.540772797583
854,8.57,Sales,82835.28768205635
855,9.26,,94137.30665624286
856,3.29,Marketing,26449.756409115802
857,2.5,Marketing,18211.691662415134
858,6.41,HR,53322.01076819983
859,3.34,Sales,29306.894840747136
860,6.9,,70456.52082223892
861,5.61,,
862,0.45,Engineering,6571.029897662161
863,9.64,HR,79325.18500751842
864,10.39,HR,91835.07407152005
865,3.16,,19806.42655526044
866,3.84,,41078.160757731515
867,5.86,Finance,61678.36798869571
868,6.0,Finance,58932.10209108284
869,6.98,Finance,59089.26874048043
870,11.03,HR,108581.44264430173
871,4.47,Engineering,39734.25544876024
872,2.61,Marketing,17867.6103741099
873,0.86,Finance,
874,2.81,Engineering,23623.59921507672
875,4.9,Sales,45192.54517390963
876,10.38,Finance,94402.56336868506
877,3.45,Marketing,24581.3622707014
878,5.67,Sales,58073.96573579069
879,4.95,Sales,44650.24187809256
880,8.57,Marketing,75038.51082836835
881,12.58,Finance,120940.02800364752
882,3.41,HR,25360.77829719134
883,3.53,Marketing,24234.043689749044
884,8.13,Marketing,80933.87098935735
885,7.05,Marketing,74122.20468223678
886,10.54,Sales,94366.38482581718
887,6.75,Engineering,61683.70197215532
888,3.92,HR,30222.39848458436
889,6.77,Finance,62124.46232447428
890,8.33,Finance,74027.38305287037
891,7.46,Engineering,67915.29824539363
892,6.52,Marketing,61850.196992290155
893,8.2,HR,69722.77283151637
894,,Finance,76247.88072900995
895,9.15,,74908.35228480253
896,6.95,Finance,61973.09120633731
897,4.5,Marketing,40808.53098657571
898,5.44,,51042.648857730775
899,8.62,Engineering,80263.78171532831
900,2.55,HR,27909.177847008676
901,6.11,Engineering,48344.89744685382
902,3.82,Engineering,27607.09909985606
903,5.09,HR,49332.19408785326
904,,HR,70889.01580516416
905,5.57,Finance,52006.646942806095
906,5.14,Finance,41244.55861173186
907,0.92,HR,16302.661034334316
908,7.24,,67660.27930752854
909,6.94,Sales,62560.52374758031
910,11.49,Finance,111529.22847679288
911,4.08,Sales,32106.29251646428
912,5.66,,47548.611738665306
913,5.75,HR,46433.899767652016
914,9.73,,84922.0425459203
915,4.71,Finance,43507.47878391847
916,5.84,Engineering,56036.447322719374
917,6.82,HR,67362.7269038857
918,5.56,Marketing,41874.8018670193
919,3.66,Sales,32711.58882516091
920,5.58,,45641.04700708526
921,8.22,HR,74370.51232574639
922,1.92,,29281.783806197098
923,5.4,HR,50990.15041939292
924,2.9,Finance,31097.221275600346
925,8.59,Finance,88594.1840320431
926,0.43,Finance,9580.91378847359
927,3.32,,
928,6.13,Marketing,49847.517171887
929,9.7,Finance,88821.34598778658
930,4.8,HR,41188.885842811316
931,3.33,Finance,22921.412559363045
932,10.64,Engineering,98798.72771310288
933,0.66,Finance,7383.2010203335685
934,-1.6,,-5830.221419985151
935,6.32,Marketing,56160.614094957185
936,3.49,Engineering,33412.20642943632
937,1.94,,14466.98639362709
938,7.13,,69764.9028340175
939,5.73,,51934.637393460645
940,,HR,24497.613386678935
941,1.16,,10572.599459617855
942,7.62,HR,71846.1354255238
943,6.95,,65024.39456397157
944,4.7,Sales,48339.660533802744
945,10.54,Engineering,89436.58305887072
946,1.79,Sales,12204.843805631437
947,0.42,,7051.3354508193515
948,2.92,Engineering,23156.99909157003
949,4.86,Engineering,45780.11369510459
950,5.73,Marketing,40459.00013735248
951,4.28,Sales,52837.51102604615
952,6.06,Marketing,54236.01848164306
953,1.25,Engineering,17435.25389470825
954,9.33,HR,83893.79831942239
955,4.75,Engineering,45642.288503768505
956,8.35,Marketing,84048.955164769
957,6.03,Sales,61138.46989319727
958,6.37,,57405.77344450581
959,6.71,,60870.38526174005
960,6.34,Sales,63170.70980157395
961,6.93,,75230.80208681399
962,8.99,,83421.09227355848
963,5.59,Marketing,61058.91164650561
964,7.13,Sales,64191.98362844915
965,4.73,Finance,48145.15011614681
966,9.32,HR,90992.34247781815
967,2.97,HR,25192.160365902197
968,10.4,,91657.34159195208
969,4.88,HR,50488.15095270659
970,0.71,Sales,3854.603747612293
971,5.38,Sales,44875.64448449956
972,2.96,Engineering,23730.44159541244
973,7.52,Engineering,66298.21643799037
974,3.04,HR,
975,3.66,Finance,36146.117123858305
976,-0.67,Engineering,-2567.2020870055835
977,3.64,Engineering,35494.35525145152
978,-2.27,Sales,-23790.49904332981
979,0.25,Finance,5778.6087984947335
980,7.28,,72687.18152494873
981,7.36,HR,70431.21871858383
982,6.28,Engineering,59850.813849237966
983,2.1,Finance,15426.721426354947
984,4.86,Finance,45636.84284332595
985,4.99,HR,41668.9599510658
986,1.52,Finance,13821.875384833484
987,9.51,Finance,79027.9823048597
988,7.63,Finance,61822.45270349645
989,4.34,Engineering,38852.88239929539
990,5.08,HR,43853.482265997576
991,5.63,Finance,52174.42453420081
992,-1.13,Finance,-11038.630121244836
993,4.26,Engineering,39225.28453901624
994,2.95,HR,30101.552535433497
995,2.0,Sales,16028.411373322815
996,4.16,Engineering,37059.8737371598
997,10.39,HR,102576.11432151798
998,6.92,Finance,63488.276918754476
999,3.29,HR,29281.071496299435
1000,6.72,HR,62050.94416608259
