Property_Type,Total_Area_sqft,Num_Rooms,Num_Dining_Area,Num_Washrooms,Num_Balconies,Floor_Level,Year_Built,Price_per_sqft,Estimated_Price,Category
House,1909,1,0,1,1,4,2001,3500,6765000,Standard
Apartment,3690,1,1,2,1,15,1980,4000,14863000,Standard
House,4991,6,0,1,1,13,1983,3500,17793000,Luxury
Apartment,2055,5,2,2,3,9,2022,4000,8574000,Standard
Apartment,1304,4,1,2,1,6,2008,4000,5483000,Standard
Flat,1779,6,0,1,3,12,2000,3000,5700000,Standard
Flat,4077,6,0,4,2,19,2005,3000,12671500,Standard
Bungalow,3401,2,2,4,2,4,1993,5000,17239500,Luxury
Flat,1887,7,2,3,3,2,1988,3000,6128000,Standard
Bungalow,3261,1,2,2,0,14,1991,5000,16398500,Luxury
Bungalow,3179,5,1,3,1,3,2021,5000,16248500,Luxury
Bungalow,2606,4,0,3,1,14,1985,5000,13315500,Standard
Bungalow,4723,6,2,1,1,13,1999,5000,23947500,Luxury
Bungalow,3268,4,1,1,3,19,2003,5000,16604500,Luxury
House,4453,2,1,1,2,18,2006,3500,15736500,Luxury
Flat,3686,5,1,2,1,12,2017,3000,11379500,Standard
Bungalow,3780,6,2,1,2,9,1987,5000,19241500,Luxury
Apartment,3073,4,2,1,1,4,1980,4000,12515000,Standard
Flat,3099,1,0,2,1,19,2003,3000,9411500,Standard
Flat,4533,7,0,2,3,19,1986,3000,14035000,Standard
Bungalow,736,2,2,4,0,5,1998,5000,3887000,Standard
House,1804,5,1,1,3,3,2001,3500,6627500,Standard
Bungalow,3930,2,1,1,1,1,2014,5000,19790000,Luxury
House,1801,1,1,1,1,15,2009,3500,6391000,Standard
Apartment,3041,5,0,4,0,17,2008,4000,12526000,Standard
Flat,2551,2,1,1,2,4,2001,3000,7801500,Standard
Apartment,941,3,0,4,2,3,1990,4000,4047000,Standard
House,2576,1,0,3,1,12,1999,3500,9158500,Standard
House,3680,1,1,4,2,18,2008,3500,13072000,Standard
Apartment,3157,1,1,3,1,1,2020,4000,12781000,Standard
House,4298,3,2,1,0,12,2021,3500,15221500,Luxury
Apartment,1304,3,2,3,0,10,2013,4000,5450500,Standard
Flat,574,4,1,4,1,3,1980,3000,2035000,Standard
Apartment,2675,6,0,2,0,19,2010,4000,11053000,Standard
Flat,4424,7,0,3,3,19,2009,3000,13749500,Standard
Apartment,2589,2,0,3,3,14,1997,4000,10577500,Standard
House,540,4,0,1,0,3,1996,3500,2106000,Standard
Apartment,2581,2,0,4,1,8,2017,4000,10555500,Standard
House,2122,7,2,3,1,6,1993,3500,7866500,Standard
Apartment,841,6,1,3,0,18,2002,4000,3743000,Standard
Apartment,4552,3,2,3,2,18,2004,4000,18468000,Luxury
Bungalow,2574,6,0,3,3,5,1994,5000,13290000,Standard
House,1145,3,0,2,2,5,2001,3500,4236000,Standard
Bungalow,4763,7,0,4,1,19,1982,5000,24279000,Luxury
House,1109,6,0,1,1,14,1998,3500,4213500,Standard
Bungalow,954,4,1,1,2,14,2023,5000,5029500,Standard
Flat,3453,5,0,2,0,19,2013,3000,10663500,Standard
Apartment,2208,4,1,4,2,8,2014,4000,9177000,Standard
House,3972,2,0,3,2,3,1980,3500,14100000,Standard
House,3469,4,1,2,3,17,2000,3500,12434500,Standard
Apartment,3528,7,2,4,3,17,2008,4000,14619000,Standard
House,3181,1,0,3,2,4,1985,3500,11284000,Standard
House,4129,2,1,2,2,19,2016,3500,14637500,Standard
Bungalow,4725,6,2,4,1,10,1980,5000,24038000,Luxury
House,3567,2,0,1,3,4,1980,3500,12637500,Standard
Flat,1886,5,0,1,3,3,2006,3000,5974000,Standard
Flat,4276,3,0,4,1,11,2000,3000,13101000,Standard
Apartment,3366,6,1,1,0,1,1995,4000,13779500,Standard
House,3863,2,1,4,3,12,2023,3500,13785000,Standard
Apartment,4624,6,2,3,3,9,2019,4000,18928500,Luxury
Flat,648,6,1,4,0,8,2005,3000,2354500,Standard
House,4350,6,1,3,3,9,1995,3500,15645500,Luxury
House,2558,3,0,2,3,6,2007,3500,9199500,Standard
Apartment,1636,7,0,4,0,3,1980,4000,6992000,Standard
Flat,686,4,0,2,0,18,2015,3000,2313500,Standard
House,3354,6,0,1,2,9,1989,3500,12081500,Standard
Apartment,1750,1,0,3,1,2,2022,4000,7154000,Standard
Flat,1833,7,0,4,1,18,1996,3000,5970000,Standard
Apartment,4693,5,0,2,0,1,2002,4000,19071000,Luxury
Bungalow,4650,3,2,3,0,19,1986,5000,23471000,Luxury
House,3211,2,2,3,3,9,2023,3500,11473000,Standard
Bungalow,2285,3,2,1,2,1,1986,5000,11616000,Standard
Flat,1250,2,2,1,2,1,2023,3000,3909500,Standard
Bungalow,2262,3,0,3,0,16,1994,5000,11535000,Standard
Bungalow,4420,2,2,3,3,15,2013,5000,22329500,Luxury
Flat,4960,6,0,4,3,15,1983,3000,15324500,Luxury
Apartment,981,4,2,3,1,13,1993,4000,4213500,Standard
Bungalow,653,2,1,4,1,6,1993,5000,3484500,Standard
Apartment,2024,2,2,3,3,10,1995,4000,8316500,Standard
Bungalow,2620,1,2,1,1,0,1986,5000,13176000,Standard
Apartment,2843,2,0,4,0,10,2011,4000,11585500,Standard
Flat,1740,1,2,2,3,3,1998,3000,5362000,Standard
Bungalow,560,5,1,1,1,6,1981,5000,3073500,Standard
Flat,1438,6,0,4,2,14,1989,3000,4746500,Standard
Bungalow,2139,1,0,4,3,17,1996,5000,10896000,Standard
Flat,4620,4,2,2,3,11,2016,3000,14161000,Standard
Flat,4726,7,0,4,2,16,1991,3000,14661500,Standard
Bungalow,4069,6,0,3,0,0,1985,5000,20715500,Luxury
Bungalow,1752,1,0,2,2,10,2001,5000,8888500,Standard
Bungalow,4703,6,0,1,3,0,2011,5000,23883500,Luxury
House,671,6,0,1,0,14,2020,3500,2676500,Standard
Apartment,1958,6,0,3,1,9,1999,4000,8224500,Standard
House,4049,5,1,1,1,6,1980,3500,14444500,Standard
House,4697,4,2,4,1,1,1985,3500,16755000,Luxury
Flat,2822,3,1,4,3,9,1998,3000,8768000,Standard
Bungalow,2136,3,0,3,2,3,1997,5000,10936500,Standard
Apartment,3615,1,0,1,0,11,1985,4000,14520500,Standard
Flat,4590,6,2,1,1,18,2012,3000,14109000,Standard
House,3504,1,1,3,0,10,2002,3500,12393000,Standard
Bungalow,829,5,2,2,3,7,2002,5000,4489000,Standard
Flat,4140,5,1,1,1,17,2005,3000,12705500,Standard
Bungalow,4394,2,0,2,3,10,1992,5000,22159000,Luxury
Flat,4607,5,2,1,2,10,1986,3000,14112000,Standard
Bungalow,1841,2,2,1,3,12,1994,5000,9365000,Standard
House,4163,4,0,1,3,2,2023,3500,14845000,Standard
Apartment,715,1,2,1,2,11,2006,4000,2961000,Standard
House,838,7,1,4,0,2,2005,3500,3393500,Standard
Apartment,4562,4,1,2,2,9,2012,4000,18532000,Luxury
Bungalow,3208,5,1,2,2,16,1994,5000,16365000,Luxury
Flat,3652,4,1,1,3,1,2015,3000,11226500,Standard
House,2250,4,0,1,0,16,2006,3500,8096000,Standard
Apartment,2921,4,2,2,1,15,1984,4000,11939000,Standard
House,1209,5,1,4,2,1,1981,3500,4610000,Standard
Apartment,4226,7,0,3,0,19,2012,4000,17338000,Luxury
House,4142,6,2,3,2,5,1995,3500,14902500,Standard
Apartment,4493,4,2,2,2,9,2002,4000,18251000,Luxury
Apartment,988,2,0,1,2,9,2017,4000,4108500,Standard
Bungalow,546,5,0,1,2,7,1995,5000,3025500,Standard
Apartment,3859,4,1,4,3,0,1993,4000,15785500,Luxury
Bungalow,900,7,2,3,0,12,2008,5000,4932000,Standard
Apartment,4490,6,2,4,0,8,2005,4000,18370500,Luxury
Flat,3657,5,0,3,0,9,2014,3000,11306000,Standard
Flat,4845,3,2,2,2,14,1994,3000,14760000,Standard
Flat,890,6,1,3,3,4,1982,3000,3084000,Standard
Apartment,4353,2,2,4,2,15,2002,4000,17651000,Luxury
Bungalow,4930,4,0,4,2,12,2008,5000,24992000,Luxury
Bungalow,1128,7,0,4,0,19,2013,5000,6104500,Standard
Apartment,4732,3,1,2,2,17,2012,4000,19162000,Luxury
Flat,3430,7,1,3,1,10,2020,3000,10743000,Standard
Flat,2021,3,2,3,2,8,2020,3000,6331000,Standard
Bungalow,1326,5,2,4,1,15,2002,5000,7004000,Standard
Flat,2000,3,0,3,2,1,1986,3000,6251000,Standard
House,3794,2,1,1,3,1,1982,3500,13433000,Standard
Bungalow,2919,2,1,1,3,11,2011,5000,14763500,Standard
Flat,1434,1,1,1,0,7,2010,3000,4375000,Standard
Bungalow,3542,2,2,3,2,8,1997,5000,17916500,Luxury
House,4997,6,1,2,1,11,2022,3500,17863500,Luxury
Bungalow,1966,3,0,2,1,8,1986,5000,10036000,Standard
Bungalow,4061,2,0,2,2,9,2020,5000,20493000,Luxury
Bungalow,1114,5,2,2,1,1,1980,5000,5873000,Standard
Bungalow,1682,7,2,1,3,15,1993,5000,8819500,Standard
House,3723,7,1,1,1,19,2011,3500,13419000,Standard
Apartment,3167,1,2,4,0,6,1985,4000,12818500,Standard
Bungalow,630,7,0,3,3,1,2018,5000,3632000,Standard
Bungalow,3483,3,1,3,3,0,1989,5000,17682500,Luxury
Flat,4778,1,0,2,3,18,1986,3000,14470000,Standard
Bungalow,4959,3,1,1,2,3,2005,5000,24995500,Luxury
Flat,538,5,2,2,2,1,2013,3000,1948500,Standard
Apartment,4459,1,1,4,3,13,2009,4000,18043500,Luxury
House,4087,4,1,3,2,1,2015,3500,14620000,Standard
House,1420,6,0,3,1,14,2000,3500,5363000,Standard
Apartment,3269,6,0,2,2,11,1996,4000,13452000,Standard
House,4611,3,1,4,2,4,2012,3500,16432500,Luxury
Apartment,992,7,2,3,3,19,1989,4000,4435500,Standard
Apartment,1631,4,2,4,0,6,2021,4000,6842500,Standard
Apartment,4021,1,0,4,0,9,1991,4000,16237500,Luxury
House,810,4,2,2,0,13,1995,3500,3080500,Standard
Flat,1238,4,0,1,1,13,2020,3000,3957000,Standard
Apartment,3741,7,2,2,2,4,2011,4000,15397500,Luxury
Bungalow,1045,1,1,1,0,17,1994,5000,5290000,Standard
House,2961,5,0,4,3,13,2006,3500,10769500,Standard
Apartment,4846,7,0,1,0,1,2007,4000,19755500,Luxury
Apartment,2304,4,1,4,0,11,1996,4000,9522000,Standard
Bungalow,3712,4,0,3,2,5,1981,5000,18858500,Luxury
Flat,4310,5,2,3,2,3,2015,3000,13295500,Standard
Flat,1313,4,2,3,2,12,1986,3000,4240000,Standard
Flat,4624,4,0,2,1,3,1992,3000,14131000,Standard
Apartment,2532,4,2,2,1,13,1994,4000,10388000,Standard
Apartment,4913,6,0,4,0,15,2004,4000,20062000,Luxury
Apartment,744,7,1,3,2,3,2002,4000,3435000,Standard
House,771,2,0,2,0,0,2001,3500,2847000,Standard
Bungalow,4011,7,1,3,3,12,2005,5000,20530500,Luxury
Apartment,2271,5,2,2,3,3,2012,4000,9433000,Standard
Bungalow,1762,4,1,1,2,19,1990,5000,9053000,Standard
Bungalow,2924,7,2,1,2,17,1989,5000,15012500,Luxury
Flat,4861,6,0,3,3,5,2004,3000,15008000,Luxury
House,1420,5,2,4,2,2,2016,3500,5366000,Standard
Apartment,3930,3,0,2,1,12,2022,4000,15944000,Luxury
Flat,4935,7,0,2,1,15,2017,3000,15226500,Luxury
Flat,4984,3,1,1,2,4,2020,3000,15160000,Luxury
Apartment,3124,4,1,1,3,3,2003,4000,12760500,Standard
Bungalow,4260,6,1,4,0,7,2019,5000,21717500,Luxury
Flat,2550,6,1,4,2,18,2012,3000,8094000,Standard
Bungalow,4000,7,2,4,2,13,1996,5000,20486000,Luxury
House,1665,5,2,3,0,6,2003,3500,6157000,Standard
Bungalow,875,5,2,1,2,13,2016,5000,4681000,Standard
House,2533,6,0,3,0,5,1981,3500,9234000,Standard
Bungalow,645,5,2,1,3,11,2011,5000,3543500,Standard
Flat,4888,6,2,1,1,15,2003,3000,14998500,Standard
Flat,931,7,2,2,3,16,1988,3000,3230000,Standard
House,1204,2,1,1,1,12,1983,3500,4338500,Standard
Apartment,3132,6,2,1,0,13,1996,4000,12844000,Standard
House,4994,3,0,3,1,6,1996,3500,17720000,Luxury
House,1463,5,1,1,3,13,2009,3500,5438000,Standard
Bungalow,2734,6,0,3,1,14,2019,5000,14072500,Standard
Bungalow,2541,6,2,4,0,11,1990,5000,13108000,Standard
House,2328,7,1,1,1,16,2000,3500,8531000,Standard
Flat,2608,5,0,1,2,8,2000,3000,8122000,Standard
Bungalow,4568,2,2,3,3,14,1997,5000,23061500,Luxury
Apartment,1438,7,0,4,2,11,2008,4000,6244000,Standard
Bungalow,1306,2,0,2,0,1,2003,5000,6679500,Standard
Bungalow,1963,7,0,4,1,4,1989,5000,10282500,Standard
Apartment,3915,5,2,3,2,12,1996,4000,16016000,Luxury
House,510,1,2,4,2,19,1997,3500,1971500,Standard
Apartment,2368,5,0,3,1,7,2021,4000,9825500,Standard
House,1384,5,1,3,1,13,1999,3500,5186500,Standard
House,4064,2,1,2,3,14,2016,3500,14425000,Standard
House,1889,2,2,1,2,10,1997,3500,6758000,Standard
Apartment,3901,5,2,3,2,0,1996,4000,15960000,Luxury
House,4821,5,2,3,0,2,1988,3500,17195500,Luxury
Flat,1324,5,2,2,3,16,1993,3000,4311500,Standard
Apartment,2765,2,2,3,0,18,2008,4000,11242000,Standard
Flat,1436,5,1,1,2,13,2010,3000,4611000,Standard
House,3300,5,2,2,0,7,1983,3500,11839500,Standard
Bungalow,3053,4,0,1,2,12,1997,5000,15511500,Luxury
House,4345,1,0,1,2,19,1999,3500,15305000,Luxury
Flat,2296,3,1,2,0,2,2022,3000,7097000,Standard
Flat,553,1,0,3,0,4,2023,3000,1798500,Standard
Apartment,1226,4,1,1,1,8,1988,4000,5131000,Standard
Bungalow,3236,3,1,1,1,5,1992,5000,16359000,Luxury
Apartment,3670,7,0,1,1,1,1994,4000,15060000,Luxury
Flat,2413,5,2,1,2,12,2006,3000,7540000,Standard
House,2096,4,0,2,0,4,1994,3500,7581000,Standard
Bungalow,2414,7,0,2,3,7,2007,5000,12516500,Standard
House,2966,5,1,4,2,0,2016,3500,10777000,Standard
House,3237,2,0,4,3,19,1998,3500,11581500,Standard
Bungalow,1349,6,1,1,0,11,2005,5000,7065500,Standard
Apartment,2609,4,2,3,2,10,2005,4000,10746500,Standard
House,502,2,2,1,3,6,2004,3500,1922000,Standard
Flat,4755,4,2,3,3,14,2005,3000,14590500,Standard
House,4569,4,0,1,1,10,2005,3500,16227000,Luxury
Bungalow,1392,2,1,4,1,15,2007,5000,7186500,Standard
Bungalow,2530,3,2,4,1,2,1997,5000,12921500,Standard
Bungalow,3660,1,1,3,2,19,2011,5000,18463500,Luxury
Apartment,2876,5,1,1,0,13,1982,4000,11763000,Standard
House,2433,4,2,3,0,2,1981,3500,8784000,Standard
Apartment,1880,5,2,4,1,0,2012,4000,7899000,Standard
Apartment,4181,6,1,1,1,14,2021,4000,17067500,Luxury
Bungalow,1790,2,2,1,1,0,1998,5000,9082000,Standard
Bungalow,2140,5,1,3,3,16,1996,5000,11071000,Standard
Apartment,3182,2,1,2,1,1,2023,4000,12902500,Standard
House,1487,5,2,3,3,19,2012,3500,5583500,Standard
Flat,1718,1,0,4,0,5,1991,3000,5307500,Standard
Apartment,1855,1,2,4,2,7,1982,4000,7599000,Standard
House,4765,1,0,4,2,15,2022,3500,16876500,Luxury
Bungalow,4635,1,1,4,2,18,2005,5000,23365500,Luxury
Bungalow,2060,1,1,4,2,0,2014,5000,10495000,Standard
House,1918,1,0,2,3,2,1987,3500,6849500,Standard
Flat,1454,2,1,1,3,2,2015,3000,4532500,Standard
Bungalow,1483,4,0,3,1,4,1986,5000,7701000,Standard
Bungalow,1474,5,0,3,3,11,2015,5000,7750500,Standard
Bungalow,4633,1,1,4,1,11,1995,5000,23335500,Luxury
House,4472,2,0,3,1,19,2003,3500,15846500,Luxury
Apartment,1413,2,2,4,2,12,1980,4000,5880000,Standard
Bungalow,536,2,2,2,3,19,2004,5000,2875000,Standard
Apartment,3887,4,1,2,3,8,1989,4000,15835500,Luxury
Flat,2211,5,1,1,1,6,1995,3000,6913500,Standard
Bungalow,3520,4,0,2,1,3,1995,5000,17860500,Luxury
Bungalow,1295,3,0,2,0,18,1987,5000,6666500,Standard
Flat,4536,7,0,1,0,18,2008,3000,13980000,Standard
Bungalow,3611,2,0,3,1,5,2018,5000,18257000,Luxury
Apartment,1824,3,2,4,0,12,2007,4000,7557500,Standard
House,817,6,2,4,0,10,1985,3500,3260000,Standard
Apartment,2896,1,1,3,1,12,1995,4000,11724500,Standard
House,2662,7,0,1,1,12,1999,3500,9699500,Standard
House,3245,1,0,3,3,19,1995,3500,11528000,Standard
Apartment,2091,4,1,2,1,14,1986,4000,8620000,Standard
Apartment,3611,7,0,1,1,12,2020,4000,14837000,Standard
Apartment,4430,5,0,1,2,10,1993,4000,18014500,Luxury
Apartment,2496,3,0,1,3,18,2022,4000,10208000,Standard
Flat,1812,5,0,4,3,7,2005,3000,5841500,Standard
Bungalow,1785,4,0,3,3,19,2005,5000,9250500,Standard
House,4811,1,1,1,2,7,1993,3500,16933000,Luxury
Apartment,2883,7,0,1,1,9,1986,4000,11908000,Standard
Apartment,3739,5,1,1,3,15,2012,4000,15275000,Luxury
Apartment,2639,5,0,3,3,18,2005,4000,10931500,Standard
Flat,2204,1,2,4,0,10,1999,3000,6769500,Standard
Apartment,862,7,2,2,3,12,1982,4000,3882000,Standard
Apartment,3104,3,2,4,1,8,1983,4000,12680500,Standard
Apartment,2216,1,2,1,1,19,2005,4000,8949500,Standard
Bungalow,4951,5,1,4,0,18,1990,5000,25108000,Luxury
Flat,4786,3,1,4,3,15,1981,3000,14651500,Standard
Apartment,4238,3,0,2,3,6,1993,4000,17191500,Luxury
House,2969,1,2,3,3,18,2023,3500,10576000,Standard
House,1056,5,1,3,2,11,2009,3500,4058500,Standard
House,1325,4,0,4,3,14,1991,3500,4986000,Standard
Flat,3308,5,0,4,1,13,2005,3000,10299500,Standard
Flat,3219,2,1,3,1,10,2023,3000,9861500,Standard
House,4008,7,2,3,2,9,2012,3500,14492000,Standard
Apartment,4241,6,0,2,2,10,1992,4000,17338000,Luxury
Flat,2074,4,2,1,3,5,1993,3000,6481500,Standard
House,4498,3,2,4,0,1,2003,3500,16002500,Luxury
House,2629,4,2,3,2,10,2013,3500,9516000,Standard
Apartment,2903,7,0,4,2,18,2023,4000,12111500,Standard
Bungalow,3829,3,2,4,3,5,2005,5000,19450500,Luxury
Flat,1088,7,0,3,3,13,2000,3000,3737000,Standard
Apartment,2512,3,2,2,2,19,2007,4000,10279500,Standard
House,2047,4,0,4,0,5,2015,3500,7480000,Standard
House,794,3,2,2,2,16,2019,3500,3016500,Standard
Apartment,2485,3,1,3,3,9,1981,4000,10203500,Standard
Flat,3617,2,2,1,3,0,2021,3000,11024500,Standard
Bungalow,2190,5,2,1,2,2,1988,5000,11242000,Standard
Bungalow,1636,5,0,4,0,7,2002,5000,8539000,Standard
House,2564,6,0,3,2,7,1994,3500,9379000,Standard
Flat,4955,6,2,2,2,19,1992,3000,15239000,Luxury
Bungalow,1507,2,1,4,3,14,2002,5000,7789000,Standard
Flat,3014,6,1,3,0,6,1996,3000,9418000,Standard
Flat,4026,7,0,3,1,10,1981,3000,12511500,Standard
House,1747,4,1,2,0,6,1999,3500,6362000,Standard
Bungalow,4402,1,2,4,2,3,1999,5000,22197500,Luxury
Apartment,1935,7,0,3,2,11,1982,4000,8189000,Standard
House,1071,1,2,3,2,5,1991,3500,3902000,Standard
Bungalow,2882,1,0,3,0,13,2019,5000,14547500,Standard
Bungalow,1745,2,0,2,3,11,1981,5000,8908500,Standard
Bungalow,2584,7,0,4,2,10,2015,5000,13415500,Standard
Bungalow,777,2,0,4,2,18,1993,5000,4119500,Standard
Bungalow,2387,3,1,4,0,4,1995,5000,12190500,Standard
Flat,1765,1,2,4,1,13,1998,3000,5467000,Standard
House,1540,4,2,1,1,15,2013,3500,5629500,Standard
Flat,1417,6,2,1,3,12,2023,3000,4625500,Standard
Apartment,1385,4,0,4,3,19,1985,4000,5885500,Standard
Bungalow,3252,6,1,2,2,3,1992,5000,16634000,Luxury
House,521,1,2,1,0,10,2015,3500,1899000,Standard
Bungalow,3691,1,1,3,2,16,2001,5000,18613500,Luxury
House,2853,1,0,1,3,6,1997,3500,10097000,Standard
Flat,1186,2,2,3,0,13,1991,3000,3731500,Standard
House,784,7,1,4,0,10,2009,3500,3206500,Standard
Apartment,4247,6,0,1,3,8,2019,4000,17360500,Luxury
Apartment,1262,7,1,2,1,12,1986,4000,5454000,Standard
House,2928,2,2,1,1,17,2011,3500,10386500,Standard
House,3007,2,2,1,0,10,1998,3500,10641500,Standard
House,528,5,0,1,2,14,1985,3500,2138500,Standard
House,1406,4,0,4,1,18,1999,3500,5243500,Standard
Apartment,3604,4,0,2,2,0,2006,4000,14697000,Standard
Bungalow,4499,3,1,1,1,3,2022,5000,22689000,Luxury
House,3494,2,1,2,1,13,2016,3500,12400000,Standard
House,3006,6,1,4,2,13,1986,3500,10952000,Standard
Apartment,4109,5,0,3,3,2,1984,4000,16801000,Luxury
Apartment,4053,5,2,1,1,16,1990,4000,16490000,Luxury
Flat,1953,7,2,2,1,2,1994,3000,6269000,Standard
House,3856,4,1,2,2,15,1982,3500,13765000,Standard
Flat,1015,2,1,4,3,13,1984,3000,3290000,Standard
Apartment,538,3,2,1,1,19,2002,4000,2336000,Standard
Apartment,3842,2,2,3,1,12,2016,4000,15569000,Luxury
Bungalow,1386,7,1,2,3,14,1988,5000,7367000,Standard
House,3344,1,1,1,1,13,1994,3500,11784000,Standard
Flat,2704,2,2,3,3,18,1982,3000,8326000,Standard
Apartment,1598,7,0,2,3,5,2008,4000,6839000,Standard
Apartment,2323,1,1,2,2,9,1985,4000,9412500,Standard
Flat,3701,1,2,3,0,14,1996,3000,11229000,Standard
Bungalow,3655,3,2,3,3,19,2005,5000,18550500,Luxury
Apartment,3593,6,2,4,2,5,2000,4000,14810000,Standard
House,4030,4,2,1,0,9,1987,3500,14316500,Standard
Apartment,4278,2,0,1,1,6,2000,4000,17245000,Luxury
House,3396,1,2,4,0,16,1990,3500,12039000,Standard
Flat,3953,2,1,2,3,17,2017,3000,12060500,Standard
House,4011,6,0,3,3,16,1987,3500,14455000,Standard
Flat,1488,4,2,3,3,8,2021,3000,4797500,Standard
House,4616,6,0,3,3,9,2003,3500,16580500,Luxury
Flat,4526,4,1,2,3,9,2014,3000,13878000,Standard
House,4679,5,2,3,2,6,1993,3500,16731000,Luxury
Bungalow,2182,4,1,3,3,15,1993,5000,11229500,Standard
House,4463,3,2,4,2,17,1989,3500,15903000,Luxury
House,1433,6,2,2,1,5,1991,3500,5374000,Standard
Bungalow,4098,1,2,1,3,19,2017,5000,20611500,Luxury
Apartment,3733,5,2,4,3,0,2023,4000,15346500,Luxury
Apartment,2480,3,2,4,0,0,2013,4000,10184500,Standard
House,2355,2,0,1,1,11,2020,3500,8385500,Standard
Bungalow,3556,6,2,4,3,1,1989,5000,18227500,Luxury
House,1292,7,2,2,3,3,1996,3500,4963000,Standard
Flat,1291,7,0,3,1,16,1996,3000,4314000,Standard
Flat,2309,1,0,2,2,3,1982,3000,7046000,Standard
House,2755,4,0,1,3,10,2010,3500,9910500,Standard
Apartment,4110,1,0,1,0,3,1980,4000,16498000,Luxury
Apartment,2107,7,0,4,3,0,1991,4000,8926500,Standard
House,1484,2,0,2,0,6,2018,3500,5351000,Standard
House,4176,5,2,2,0,17,1983,3500,14905500,Standard
Flat,3880,5,2,1,3,8,2021,3000,11963500,Standard
Apartment,1019,6,1,2,3,2,1992,4000,4465000,Standard
House,1090,5,2,1,0,7,2013,3500,4089500,Standard
Flat,1550,6,2,2,1,18,2021,3000,5023500,Standard
Apartment,4133,6,0,2,1,3,2000,4000,16895000,Luxury
Bungalow,4944,6,0,2,3,17,2001,5000,25113500,Luxury
Flat,1459,7,2,1,2,19,1983,3000,4766500,Standard
Apartment,1192,7,1,4,1,10,1997,4000,5239500,Standard
Apartment,4399,4,0,2,3,13,1984,4000,17881000,Luxury
Flat,4973,3,2,1,1,17,1998,3000,15101000,Luxury
Bungalow,3446,6,2,1,2,15,1981,5000,17568500,Luxury
Flat,1026,6,1,2,3,2,1991,3000,3466500,Standard
Apartment,3724,3,1,2,2,14,1996,4000,15122000,Luxury
House,2753,1,0,4,3,3,1989,3500,9833000,Standard
House,3844,6,1,1,2,4,2013,3500,13808500,Standard
Flat,4465,4,2,1,1,16,1985,3000,13620500,Standard
Apartment,2375,5,2,3,1,6,1987,4000,9836500,Standard
House,2263,5,1,1,2,15,1990,3500,8213500,Standard
Apartment,1020,2,1,4,2,13,1991,4000,4313500,Standard
Flat,1516,2,1,3,2,15,1988,3000,4750000,Standard
House,616,5,1,3,3,6,1981,3500,2519500,Standard
Apartment,2933,5,0,3,1,8,1987,4000,12068500,Standard
House,1083,7,1,2,3,3,1990,3500,4228500,Standard
Flat,894,4,0,2,1,10,2015,3000,2952500,Standard
Apartment,4288,3,2,1,0,1,1989,4000,17314500,Luxury
House,3268,2,1,3,3,11,2000,3500,11661000,Standard
Flat,4667,7,0,4,1,11,1999,3000,14473500,Standard
House,4360,7,1,2,1,3,1987,3500,15666500,Luxury
House,773,3,2,4,3,17,2015,3500,3016000,Standard
Bungalow,2513,7,2,4,3,6,2008,5000,13072000,Standard
Bungalow,4933,4,2,2,1,0,2021,5000,24938500,Luxury
Flat,1889,5,1,2,3,12,1991,3000,6005500,Standard
Bungalow,4066,6,1,2,2,5,1993,5000,20704500,Luxury
Flat,665,3,0,2,3,5,2000,3000,2238000,Standard
Bungalow,2067,5,2,3,3,11,2001,5000,10708500,Standard
House,1228,5,1,3,3,7,2000,3500,4671000,Standard
Flat,2543,1,2,3,1,18,2023,3000,7783500,Standard
Flat,4697,3,2,3,2,4,2009,3000,14353500,Standard
House,3996,7,0,1,0,17,2018,3500,14363000,Standard
Flat,1278,6,0,3,0,4,1999,3000,4211500,Standard
Flat,713,3,0,2,2,9,2003,3000,2368500,Standard
Bungalow,4262,7,0,4,2,0,2002,5000,21799000,Luxury
Flat,2076,5,2,3,2,9,1986,3000,6579000,Standard
Apartment,2948,6,0,1,1,4,1988,4000,12119000,Standard
House,3436,7,0,2,0,11,1980,3500,12414000,Standard
Bungalow,3617,4,0,4,2,6,2005,5000,18425500,Luxury
Bungalow,1091,7,0,4,1,8,2017,5000,5936500,Standard
Apartment,3220,1,2,3,0,11,2017,4000,13016500,Standard
House,1213,5,0,4,3,0,2023,3500,4660000,Standard
House,1435,7,2,3,1,10,2001,3500,5466000,Standard
Bungalow,4837,2,1,3,0,14,2023,5000,24374500,Luxury
Flat,501,2,2,2,1,1,1989,3000,1660500,Standard
Bungalow,3348,1,2,2,0,19,1985,5000,16830500,Luxury
House,4544,4,0,1,0,6,1996,3500,16120000,Luxury
Apartment,2449,5,1,2,3,11,2017,4000,10147500,Standard
Bungalow,1417,3,1,2,1,17,2003,5000,7299500,Standard
House,3674,1,1,3,2,2,1989,3500,13011500,Standard
Bungalow,2741,4,1,2,3,6,1987,5000,13991500,Standard
Flat,589,3,2,3,3,10,2000,3000,2040000,Standard
Bungalow,2209,2,1,3,0,17,1985,5000,11215500,Standard
Bungalow,2669,2,2,2,2,11,2000,5000,13523000,Standard
House,4738,3,2,1,1,5,2018,3500,16775000,Luxury
House,3541,1,2,1,2,4,2003,3500,12493000,Standard
House,605,2,1,4,2,0,2012,3500,2361500,Standard
Bungalow,1386,5,0,4,2,11,1997,5000,7316500,Standard
Flat,927,6,0,2,2,10,2007,3000,3162500,Standard
